id,Accuracy,Precision,Recall,F1
205,0.841,0.5037593984962406,0.41875,0.4573378839590444
206,0.847,0.5660377358490566,0.1875,0.28169014084507044
207,0.848,0.5869565217391305,0.16875,0.2621359223300971
208,0.842,0.5238095238095238,0.1375,0.21782178217821782
209,0.796,0.4126984126984127,0.65,0.5048543689320388
210,0.834,0.4625,0.23125,0.30833333333333335
211,0.791,0.4,0.6125,0.48395061728395056
212,0.845,0.5510204081632653,0.16875,0.2583732057416268
213,0.836,0.47435897435897434,0.23125,0.3109243697478991
214,0.846,0.5625,0.16875,0.25961538461538464
215,0.836,0.47619047619047616,0.25,0.32786885245901637
216,0.821,0.4512820512820513,0.55,0.49577464788732395
217,0.794,0.39823008849557523,0.5625,0.4663212435233161
218,0.815,0.43243243243243246,0.5,0.463768115942029
219,0.836,0.4782608695652174,0.275,0.34920634920634924
220,0.836,0.4791666666666667,0.2875,0.359375
221,0.786,0.3969465648854962,0.65,0.4928909952606635
222,0.847,0.5466666666666666,0.25625,0.3489361702127659
223,0.782,0.39097744360902253,0.65,0.488262910798122
224,0.839,0.49606299212598426,0.39375,0.4390243902439024
225,0.835,0.4731182795698925,0.275,0.3478260869565218
226,0.841,0.5070422535211268,0.225,0.3116883116883117
227,0.844,0.5526315789473685,0.13125,0.21212121212121215
228,0.846,0.5652173913043478,0.1625,0.2524271844660194
229,0.825,0.42424242424242425,0.2625,0.32432432432432434
230,0.844,0.5714285714285714,0.1,0.1702127659574468
231,0.836,0.4722222222222222,0.2125,0.29310344827586204
232,0.832,0.47333333333333333,0.44375,0.45806451612903226
233,0.839,0.4942528735632184,0.26875,0.3481781376518218
234,0.842,0.5161290322580645,0.2,0.2882882882882883
235,0.846,0.5625,0.16875,0.25961538461538464
236,0.847,0.5813953488372093,0.15625,0.24630541871921183
237,0.839,0.4953271028037383,0.33125,0.39700374531835203
238,0.844,0.5285714285714286,0.23125,0.3217391304347826
239,0.839,0.49230769230769234,0.2,0.2844444444444445
240,0.845,0.5609756097560976,0.14375,0.2288557213930348
241,0.839,0.49473684210526314,0.29375,0.3686274509803922
242,0.846,0.5714285714285714,0.15,0.23762376237623759
243,0.84,0.5,0.3875,0.4366197183098592
244,0.842,0.5172413793103449,0.1875,0.27522935779816515
245,0.843,0.512396694214876,0.3875,0.44128113879003555
246,0.787,0.39271255060728744,0.60625,0.4766584766584766
247,0.845,0.5581395348837209,0.15,0.23645320197044334
248,0.843,0.5319148936170213,0.15625,0.24154589371980675
249,0.847,0.5686274509803921,0.18125,0.27488151658767773
250,0.835,0.4742268041237113,0.2875,0.35797665369649806
251,0.841,0.5068493150684932,0.23125,0.3175965665236052
252,0.845,0.5609756097560976,0.14375,0.2288557213930348
